Macrotrends Data Download

Ireland GNP 1972-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GNP, Per Capita, Growth Rate
date, Billions of US $, US $, Annual % Growth
1972-12-31,6.276789053884,2070
1973-12-31,7.8354957071807,2540
1974-12-31,9.3944082434824,2990
1975-12-31,10.824268755095,3390
1976-12-31,10.627110793361,3280
1977-12-31,11.734303529861,3580
1978-12-31,13.724287116705,4120
1979-12-31,17.263012180292,5120
1980-12-31,21.774221604717,6380
1981-12-31,23.422600364665,6780
1982-12-31,22.264476072556,6390
1983-12-31,20.083045604567,5720
1984-12-31,19.822997628471,5610
1985-12-31,19.911053587426,5630
1986-12-31,22.55701141811,6370
1987-12-31,29.08655541882,8220
1988-12-31,36.738564284671,10420
1989-12-31,38.958573123041,11100
1990-12-31,44.137988787161,12560
1991-12-31,46.393097420046,13130
1992-12-31,51.388373927924,14440
1993-12-31,52.218352433749,14600
1994-12-31,55.581256635075,15480
1995-12-31,61.062706161507,16920
1996-12-31,68.678385684979,18880,8.008
1997-12-31,75.907632544933,20660,9.3279
1998-12-31,79.582670654692,21440,7.9481
1999-12-31,85.046326167542,22650,7.7766
2000-12-31,91.609811921051,24080,9.2921
2001-12-31,92.855919849437,24020,3.089
2002-12-31,97.646862018541,24830,4.0789
2003-12-31,119.46915331797,29890,5.889
2004-12-31,153.39803760588,37690,7.3521
2005-12-31,185.22350957206,44530,5.9686
2006-12-31,204.74437620197,47910,6.3477
2007-12-31,222.25955161762,50530,4.0206
2008-12-31,228.60635559663,50920,-4.404
2009-12-31,212.28048927981,46810,-8.2187
2010-12-31,204.64577050225,44880,2.1072
2011-12-31,191.88913896988,41900,-2.8722
2012-12-31,186.69407000269,40590,-0.4434
2013-12-31,201.02913449643,43480,5.6726
2014-12-31,215.75237792606,46320,8.7396
2015-12-31,236.75076769445,50350,12.7058
2016-12-31,249.60148455548,52490,10.276
2017-12-31,257.12101564075,53480,5.5971
2018-12-31,290.28857658012,59640,7.3164
2019-12-31,307.42171597206,62210
