symbol,date,value
irl.en.atm.co2e.pc,1960-06-15T00:00:00,3.95273
irl.en.atm.co2e.pc,1961-06-15T00:00:00,4.37796
irl.en.atm.co2e.pc,1962-06-15T00:00:00,4.62634
irl.en.atm.co2e.pc,1963-06-15T00:00:00,4.71897
irl.en.atm.co2e.pc,1964-06-15T00:00:00,4.96472
irl.en.atm.co2e.pc,1965-06-15T00:00:00,4.77285
irl.en.atm.co2e.pc,1966-06-15T00:00:00,5.23114
irl.en.atm.co2e.pc,1967-06-15T00:00:00,5.65505
irl.en.atm.co2e.pc,1968-06-15T00:00:00,6.11261
irl.en.atm.co2e.pc,1969-06-15T00:00:00,6.31329
irl.en.atm.co2e.pc,1970-06-15T00:00:00,6.56458
irl.en.atm.co2e.pc,1971-06-15T00:00:00,7.51894
irl.en.atm.co2e.pc,1972-06-15T00:00:00,7.26191
irl.en.atm.co2e.pc,1973-06-15T00:00:00,7.40779
irl.en.atm.co2e.pc,1974-06-15T00:00:00,7.4275
irl.en.atm.co2e.pc,1975-06-15T00:00:00,6.91425
irl.en.atm.co2e.pc,1976-06-15T00:00:00,6.88543
irl.en.atm.co2e.pc,1977-06-15T00:00:00,7.18049
irl.en.atm.co2e.pc,1978-06-15T00:00:00,7.08043
irl.en.atm.co2e.pc,1979-06-15T00:00:00,8.11821
irl.en.atm.co2e.pc,1980-06-15T00:00:00,7.69331
irl.en.atm.co2e.pc,1981-06-15T00:00:00,7.54109
irl.en.atm.co2e.pc,1982-06-15T00:00:00,7.32916
irl.en.atm.co2e.pc,1983-06-15T00:00:00,7.32335
irl.en.atm.co2e.pc,1984-06-15T00:00:00,7.22724
irl.en.atm.co2e.pc,1985-06-15T00:00:00,7.55355
irl.en.atm.co2e.pc,1986-06-15T00:00:00,8.05878
irl.en.atm.co2e.pc,1987-06-15T00:00:00,8.5303
irl.en.atm.co2e.pc,1988-06-15T00:00:00,8.46595
irl.en.atm.co2e.pc,1989-06-15T00:00:00,8.5497
irl.en.atm.co2e.pc,1990-06-15T00:00:00,8.88372
irl.en.atm.co2e.pc,1991-06-15T00:00:00,8.88467
irl.en.atm.co2e.pc,1992-06-15T00:00:00,8.72121
irl.en.atm.co2e.pc,1993-06-15T00:00:00,8.7413
irl.en.atm.co2e.pc,1994-06-15T00:00:00,9.10013
irl.en.atm.co2e.pc,1995-06-15T00:00:00,9.1359
irl.en.atm.co2e.pc,1996-06-15T00:00:00,9.59617
irl.en.atm.co2e.pc,1997-06-15T00:00:00,9.91162
irl.en.atm.co2e.pc,1998-06-15T00:00:00,10.38459
irl.en.atm.co2e.pc,1999-06-15T00:00:00,10.69399
irl.en.atm.co2e.pc,2000-06-15T00:00:00,10.83474
irl.en.atm.co2e.pc,2001-06-15T00:00:00,11.38823
irl.en.atm.co2e.pc,2002-06-15T00:00:00,11.04125
irl.en.atm.co2e.pc,2003-06-15T00:00:00,10.68118
irl.en.atm.co2e.pc,2004-06-15T00:00:00,10.75164
irl.en.atm.co2e.pc,2005-06-15T00:00:00,10.44852
irl.en.atm.co2e.pc,2006-06-15T00:00:00,10.09594
irl.en.atm.co2e.pc,2007-06-15T00:00:00,10.10918
irl.en.atm.co2e.pc,2008-06-15T00:00:00,9.59643
irl.en.atm.co2e.pc,2009-06-15T00:00:00,8.92539
irl.en.atm.co2e.pc,2010-06-15T00:00:00,8.78442
irl.en.atm.co2e.pc,2011-06-15T00:00:00,7.78062
irl.en.atm.co2e.pc,2012-06-15T00:00:00,7.73736
irl.en.atm.co2e.pc,2013-06-15T00:00:00,7.54208
irl.en.atm.co2e.pc,2014-06-15T00:00:00,7.30056
irl.en.atm.co2e.pc,2015-06-15T00:00:00,7.63666
irl.en.atm.co2e.pc,2016-06-15T00:00:00,7.93034
